relative_path,filename,has_nonzero_copy_elsewhere,looks_project_related
gkehub_v1alpha1_messages.py,gkehub_v1alpha1_messages.py,False,False
function_base.py,function_base.py,False,False
build_mars_download_lists.py,build_mars_download_lists.py,False,True
deploymentmanager_alpha_messages.py,deploymentmanager_alpha_messages.py,False,False
man_renderer.py,man_renderer.py,False,False
_testing.py,_testing.py,False,False
inference_480m.py,inference_480m.py,True,False
parser.py,parser.py,False,False
agentregistry_v1alpha_messages.py,agentregistry_v1alpha_messages.py,False,False
escape.py,escape.py,False,False
api.py,api.py,False,False
kms.py,kms.py,False,False
test_theil_sen.py,test_theil_sen.py,False,False
inprocess.py,inprocess.py,False,False
_tokenizer.py,_tokenizer.py,False,False
test_requests.py,test_requests.py,False,False
resource.py,resource.py,False,False
test_util.py,test_util.py,False,False
rdataset.py,rdataset.py,False,True
ticker.py,ticker.py,False,False
session.py,session.py,False,False
file_v1_messages.py,file_v1_messages.py,False,False
backend_tools.py,backend_tools.py,False,False
integrate_aviris3_into_professor_master.py,integrate_aviris3_into_professor_master.py,True,True
shape.py,shape.py,False,False
jupyter_widget.py,jupyter_widget.py,False,False
PyColorize.py,PyColorize.py,False,False
task_executor.py,task_executor.py,False,False
client.py,client.py,False,False
yacc.py,yacc.py,False,False
test_analytics.py,test_analytics.py,False,False
_logging.py,_logging.py,False,False
validate_aviris3_final20_loader.py,validate_aviris3_final20_loader.py,True,True
zone.py,zone.py,False,False
test_instance_group_args.py,test_instance_group_args.py,False,False
plot_sensor_set_transfer_f1_480m_readable.py,plot_sensor_set_transfer_f1_480m_readable.py,True,False
factory.py,factory.py,False,False
config.py,config.py,False,False
graphics.py,graphics.py,False,False
satmae_ft_avg_fusion_480m.py,satmae_ft_avg_fusion_480m.py,True,False
_shlex.py,_shlex.py,False,False
misc.py,misc.py,False,False
test_memmapping.py,test_memmapping.py,False,False
archive_util.py,archive_util.py,False,False
recompiler.py,recompiler.py,False,False
run_single.sh,run_single.sh,True,True
build_classification_dataset_start.py,build_classification_dataset_start.py,True,True
cloudbuild_v1_messages.py,cloudbuild_v1_messages.py,False,True
backend_pdf.py,backend_pdf.py,False,False
loaddata.py,loaddata.py,False,False
standard.py,standard.py,False,False
test_sphinxext.py,test_sphinxext.py,False,False
memcache_v1beta2_messages.py,memcache_v1beta2_messages.py,False,False
frontend_widget.py,frontend_widget.py,False,False
attributes.py,attributes.py,False,False
render_document.py,render_document.py,False,False
repair_emit_plm_labels.py,repair_emit_plm_labels.py,True,True
audit_all_local_s2_reference.py,audit_all_local_s2_reference.py,True,True
_python_package_support.py,_python_package_support.py,False,False
_php_builtins.py,_php_builtins.py,False,False
error.py,error.py,False,False
unet_multisensor_baseline_iou_plus.py,unet_multisensor_baseline_iou_plus.py,True,True
v1beta1_event.py,v1beta1_event.py,False,False
serializer.py,serializer.py,False,False
securitycentermanagement_v1_messages.py,securitycentermanagement_v1_messages.py,False,False
tempdir.py,tempdir.py,False,False
npyio.py,npyio.py,False,False
my_shlex.py,my_shlex.py,False,False
test_artist.py,test_artist.py,False,False
genomics_v2alpha1_messages.py,genomics_v2alpha1_messages.py,False,False
test_umath.py,test_umath.py,False,False
backend_bases.py,backend_bases.py,False,False
constraint.py,constraint.py,False,True
get_iam_policy.yaml,get_iam_policy.yaml,False,False
pyplot.py,pyplot.py,False,False
dictionaries_2024.py,dictionaries_2024.py,True,False
inputhookqt4.py,inputhookqt4.py,False,False
file_v1p1alpha1_messages.py,file_v1p1alpha1_messages.py,False,False
utils.py,utils.py,False,False
logging.py,logging.py,False,False
dumper.py,dumper.py,False,False
linkifier.py,linkifier.py,False,False
urbi.py,urbi.py,False,False
hooks.py,hooks.py,False,False
evaluate_classification_with_predictions.py,evaluate_classification_with_predictions.py,True,True
stream.py,stream.py,False,False
test_https.py,test_https.py,False,False
_update_alpha.yaml,_update_alpha.yaml,False,False
tree.py,tree.py,False,False
nearley.py,nearley.py,False,False
run_v1alpha1_messages.py,run_v1alpha1_messages.py,False,True
test_image.py,test_image.py,False,False
dataflow_v1b3_messages.py,dataflow_v1b3_messages.py,False,False
policytroubleshooter_v3alpha_messages.py,policytroubleshooter_v3alpha_messages.py,False,False
attr.py,attr.py,False,False
_testutils.py,_testutils.py,False,False
policytroubleshooter_v3beta_messages.py,policytroubleshooter_v3beta_messages.py,False,False
gkehub_v1beta1_messages.py,gkehub_v1beta1_messages.py,False,False
comms.py,comms.py,False,False
test_ufunc.py,test_ufunc.py,False,False
gkehub_v1beta_messages.py,gkehub_v1beta_messages.py,False,False
prepare_emit_for_methanefuse_v2.py,prepare_emit_for_methanefuse_v2.py,True,True
tag_emitter.py,tag_emitter.py,False,True
containeranalysis_v1alpha1_messages.py,containeranalysis_v1alpha1_messages.py,False,False
sql.py,sql.py,False,False
completer.py,completer.py,False,False
redundancy.py,redundancy.py,False,False
build_final_aviris3_methanefuse20_exact.py,build_final_aviris3_methanefuse20_exact.py,True,True
__init__.py,__init__.py,True,False
_parser.py,_parser.py,False,False
select_exact_patchvalid_negatives.py,select_exact_patchvalid_negatives.py,True,False
make_unique_overpass_table.py,make_unique_overpass_table.py,True,False
method.py,method.py,False,False
layer1.py,layer1.py,False,False
build_all_av3_methanefuse_58.py,build_all_av3_methanefuse_58.py,True,True
test_cbook.py,test_cbook.py,False,False
visualize_prediction.py,visualize_prediction.py,True,False
collections.py,collections.py,False,False
log_utils.py,log_utils.py,False,False
connectionpool.py,connectionpool.py,False,False
evaluate_segmentation.py,evaluate_segmentation.py,True,True
dbt_metadata_job.py,dbt_metadata_job.py,False,False
backend_ps.py,backend_ps.py,False,False
_cocoa_builtins.py,_cocoa_builtins.py,False,False
test_lgmres.py,test_lgmres.py,False,False
bigquerymigration_v2_messages.py,bigquerymigration_v2_messages.py,False,False
deprecation.py,deprecation.py,False,False
test_stride_tricks.py,test_stride_tricks.py,False,False
make_paths_absolute.py,make_paths_absolute.py,True,False
ddl_parser.py,ddl_parser.py,False,False
log.py,log.py,False,False
